City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,floro,61.5996,5.0328,9.02,87,100,9.26,NO,1715222822
166,srikakulam,18.3,83.9,31.47,63,2,4.3,IN,1715222823
167,saipan,15.1355,145.701,32.39,66,75,6.17,MP,1715222823
168,eagle pass,28.7091,-100.4995,30.71,61,0,4.89,US,1715222823
169,cockington,50.4635,-3.5593,10.68,96,52,0.69,GB,1715222823
170,altay,47.8667,88.1167,18.01,24,0,0.49,CN,1715222823
171,sisimiut,66.9395,-53.6735,-5.64,83,29,3.59,GL,1715222823
172,puerto ayora,-0.7393,-90.3518,24.19,99,100,1.79,EC,1715222824
173,ximeicun,24.9639,118.3794,24.75,55,97,3.5,CN,1715222824
174,luganville,-15.5333,167.1667,25.85,68,90,6.16,VU,1715222824
175,kapa'a,22.0752,-159.319,29.99,85,100,5.14,US,1715222568
176,neryungri,56.6709,124.6491,0.1,86,100,4.81,RU,1715222824
177,iskateley,67.6803,53.1512,-4.99,88,100,7.15,RU,1715222825
178,winchester,51.0651,-1.3187,11.26,93,97,0.51,GB,1715222825
179,bamboo flat,11.7,92.7167,33.05,66,20,3.6,IN,1715222825
180,kachug,53.9606,105.8817,11.77,69,100,6.67,RU,1715222826
181,hilton head island,32.2163,-80.7526,27.06,77,0,3.6,US,1715222826
182,mount pearl,47.5166,-52.7813,4.98,93,75,4.63,CA,1715222826
183,margate,51.3813,1.3862,7.61,93,100,1.24,GB,1715222826
184,new norfolk,-42.7826,147.0587,15.51,74,63,0.96,AU,1715222822
185,trat,12.5,102.5,32.11,62,47,1.06,TH,1715222826
186,geraldton,-28.7667,114.6,29.23,21,100,8.23,AU,1715222671
187,tuy hoa,13.0833,109.3,30.55,67,72,4.27,VN,1715222796
188,sheksna,59.21,38.5107,-3.37,77,100,6.21,RU,1715222827
189,kirovs'k,48.6375,38.6428,6.07,62,86,2.02,UA,1715222806
190,constantia,44.1833,28.65,11.5,82,84,6.68,RO,1715222768
191,al ghayzah,16.2079,52.176,29.54,72,98,0.72,YE,1715222827
192,zhangye,38.9342,100.4517,23.18,20,100,7.17,CN,1715222828
193,tezu,27.9167,96.1667,22.13,88,100,1.19,IN,1715222828
194,mermoz boabab,14.7065,-17.4758,23.31,94,75,3.09,SN,1715222828
195,kroya,-7.6331,109.2461,29.64,70,17,2.07,ID,1715222828
196,codrington,-38.2667,141.9667,18.72,52,60,2.71,AU,1715222829
197,punta arenas,-53.15,-70.9167,4.06,81,75,2.57,CL,1715222529
198,pariaman,-0.619,100.12,32.03,69,19,1.6,ID,1715222763
199,onega,63.9061,38.1404,-1.94,82,100,7.75,RU,1715222829
200,terra nova,-12.3667,-40.6667,18.9,97,0,1.03,BR,1715222829
201,sao joao da barra,-21.6403,-41.0511,24.37,92,16,3.71,BR,1715222829
202,berezovyy,51.6667,135.7,13.02,28,73,8.25,RU,1715222830
203,cabo san lucas,22.8909,-109.9124,26.45,44,20,3.09,MX,1715222830
204,hamilton,39.1834,-84.5333,23.97,78,20,7.2,US,1715222790
205,birao,10.2849,22.7882,26.76,15,100,3.15,CF,1715222830
206,atafu village,-8.5421,-172.5159,29.83,70,100,3.34,TK,1715222831
207,bengkulu,-3.8004,102.2655,29.66,65,21,1.07,ID,1715222831
208,coahuayana de hidalgo,18.7,-103.6583,21.81,89,37,1.01,MX,1715222831
209,nova vicosa,-17.8919,-39.3719,24.45,88,11,1.09,BR,1715222831
210,finote selam,10.7,37.2667,21.4,47,92,0.45,ET,1715222831
211,whakatane,-37.9585,176.9854,14.87,68,100,6.04,NZ,1715222760
212,rifle,39.5347,-107.7831,9.33,43,100,3.09,US,1715222832
213,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715222642
214,corner brook,48.9667,-57.9484,5.09,93,11,0.9,CA,1715222832
215,tralee,52.2704,-9.7026,8.59,93,98,1.91,IE,1715222833
216,ancud,-41.8697,-73.8203,9.76,83,98,5.78,CL,1715222833
217,rajec,49.089,18.6401,7.06,85,0,3.6,SK,1715222833
218,hibbing,47.4272,-92.9377,15.64,57,100,3.6,US,1715222833
219,beau vallon,-20.4189,57.6953,25.13,65,40,7.2,MU,1715222833
220,nyrsko,49.2939,13.1435,6.61,86,19,0.56,CZ,1715222834
221,alaghsas,17.0187,8.0168,31.16,13,82,1.57,NE,1715222586
222,bikenibeu village,1.3673,173.1241,31.98,70,20,3.09,KI,1715222834
223,iwanai,42.9744,140.5089,11.21,56,3,2.59,JP,1715222834
224,lishui,28.4604,119.9103,23.17,62,100,1.82,CN,1715222834
225,fale old settlement,-9.3852,-171.2468,28.9,76,51,2.5,TK,1715222649
226,oriximina,-1.7656,-55.8661,24.68,93,88,1.61,BR,1715222835
227,chibougamau,49.9168,-74.3659,6.79,61,100,4.39,CA,1715222835
228,meadow lake,34.8014,-106.5436,19.71,18,100,3.9,US,1715222835
229,aasiaat,68.7098,-52.8699,-9.17,81,26,3.54,GL,1715222824
230,happy valley-goose bay,53.3168,-60.3315,0.17,80,100,1.54,CA,1715222835
231,utrik,11.2278,169.8474,27.33,76,59,8.79,MH,1715222836
232,russellville,35.2784,-93.1338,27.08,69,100,0.0,US,1715222836
233,college,64.8569,-147.8028,15.18,38,75,4.63,US,1715222775
234,ahuacatlan,21.05,-104.4833,20.26,50,13,1.43,MX,1715222836
235,an nuhud,12.7,28.4333,24.25,15,12,5.28,SD,1715222836
236,east london,-33.0153,27.9116,20.21,84,39,3.65,ZA,1715222837
237,swift current,50.2834,-107.8014,15.45,58,20,3.09,CA,1715222589
238,ambalangoda,6.2355,80.0538,27.37,81,100,1.07,LK,1715222837
239,the pas,53.8251,-101.2541,16.01,36,0,1.54,CA,1715222837
240,vila velha,-20.3297,-40.2925,24.97,95,40,1.54,BR,1715222837
241,tazovsky,67.4667,78.7,-9.54,90,18,2.57,RU,1715222838
242,kalianget,-7.05,113.9333,29.52,69,98,3.87,ID,1715222838
243,kupang,-10.1667,123.5833,34.32,59,20,4.63,ID,1715222838
244,praia,14.9215,-23.5087,23.3,68,0,2.57,CV,1715222839
245,daun,50.2,6.8333,9.47,93,18,3.09,DE,1715222839
246,kone,-21.0595,164.8658,26.84,39,0,6.45,NC,1715222836
247,tabou,4.423,-7.3528,26.88,86,88,2.6,CI,1715222839
248,quang ngai,15.1167,108.8,34.59,37,12,3.73,VN,1715222819
249,hammerfest,70.6634,23.6821,1.25,51,66,4.12,NO,1715222839
250,sarupathar,26.1984,93.8094,29.18,51,71,3.09,IN,1715222840
251,kunszentmarton,46.8392,20.2888,13.18,73,28,3.96,HU,1715222840
252,santa ana,33.7456,-117.8678,21.29,74,0,4.63,US,1715222840
253,celica,-4.1167,-79.95,15.98,97,100,1.38,EC,1715222840
254,kunszentmiklos,47.027,19.1258,14.93,75,33,2.33,HU,1715222840
255,vila franca do campo,37.7167,-25.4333,18.27,99,54,2.72,PT,1715222564
256,sitka,57.0531,-135.33,7.94,76,100,6.17,US,1715222841
257,itarare,-24.1125,-49.3317,18.94,70,3,0.72,BR,1715222841
258,yerofey pavlovich,53.9667,121.9667,12.4,22,9,2.23,RU,1715222582
259,nar'yan-mar,67.6713,53.087,-4.94,88,100,7.15,RU,1715222602
260,papao,-17.75,-149.55,28.82,82,84,8.94,PF,1715222773
261,richards bay,-28.783,32.0377,19.16,91,1,1.85,ZA,1715222841
262,lethem,3.3803,-59.7968,25.86,87,100,2.43,GY,1715222842
263,queenstown,-31.8976,26.8753,11.55,71,11,1.34,ZA,1715222645
264,sergeyevka,53.88,67.4158,16.83,65,100,6.26,KZ,1715222842
265,kokopo,-4.352,152.2633,26.03,92,100,3.83,PG,1715222666
266,port saint john's,-31.6229,29.5448,18.83,87,0,1.99,ZA,1715222842
267,colonia,50.9333,6.95,9.9,89,4,0.51,DE,1715222817
268,hirara,24.8,125.2833,25.15,57,75,6.69,JP,1715222843
269,bor,56.3567,44.0669,0.56,80,100,4.34,RU,1715222843
270,mount isa,-20.7333,139.5,29.87,48,40,5.66,AU,1715222820
271,calvi,42.5,8.8333,8.35,87,0,3.09,FR,1715222843
272,gao,16.6362,1.637,33.35,12,56,3.3,ML,1715222843
273,usinsk,65.9939,57.5281,-0.52,89,100,2.68,RU,1715222843
274,mount gambier,-37.8333,140.7667,19.77,38,15,1.61,AU,1715222844
275,kodinsk,58.6881,99.1844,5.24,91,100,4.37,RU,1715222844
276,wesley,15.5667,-61.3167,26.86,83,100,3.6,DM,1715222845
277,guanhaes,-18.775,-42.9325,16.56,94,13,1.4,BR,1715222845
278,peniche,39.3558,-9.3811,21.17,52,100,2.89,PT,1715222845
279,praya,14.9215,-23.5087,23.3,68,0,2.57,CV,1715222839
280,tolanaro,-25.0319,46.9987,24.04,83,40,2.06,MG,1715222711
281,karratha,-20.7377,116.8463,28.31,27,6,9.29,AU,1715222595
282,ujae,8.9322,165.7642,27.55,83,71,9.76,MH,1715222846
283,keelung,25.1283,121.7419,25.61,40,100,5.8,TW,1715222846
284,ambovombe,-25.1667,46.0833,19.31,87,0,1.84,MG,1715222846
285,stelle,53.3842,10.1114,6.95,93,25,0.2,DE,1715222846
286,kavali,14.9167,79.9833,32.16,60,62,5.16,IN,1715222846
287,dwarka,22.2394,68.9678,28.12,78,0,4.82,IN,1715222846
288,peace river,56.2501,-117.286,16.17,29,75,11.32,CA,1715222847
289,pesqueira,-8.3578,-36.6964,18.8,97,39,1.58,BR,1715222847
290,ola,59.5833,151.2833,3.41,77,68,1.02,RU,1715222847
291,midvagur,62.0511,-7.1939,5.46,81,20,6.17,FO,1715222847
292,remire-montjoly,4.9167,-52.2667,25.02,100,100,0.0,GF,1715222566
293,talara,-4.5772,-81.2719,20.42,88,20,5.66,PE,1715222848
294,santa elena de uairen,4.6167,-61.1333,20.07,96,96,1.58,VE,1715222848
295,lisala,2.15,21.5167,21.53,99,81,1.1,CD,1715222610
296,dosso,13.049,3.1937,33.43,31,77,3.71,NE,1715222848
297,tokar,18.4254,37.729,25.41,69,0,3.42,SD,1715222848
298,kaka,37.3482,59.6143,18.27,62,100,8.15,TM,1715222848
299,saint croix,17.7397,-64.7388,25.53,89,40,2.24,VI,1715222635
300,hyesan-dong,41.3976,128.1787,18.61,42,43,5.13,KP,1715222849
301,hasaki,35.7333,140.8333,14.22,76,100,11.3,JP,1715222849
302,campillos,37.0483,-4.8631,11.08,71,19,4.37,ES,1715222849
303,fauske,67.2588,15.3918,4.97,78,100,3.12,NO,1715222631
304,georgetown,5.4112,100.3354,32.96,70,20,1.54,MY,1715222849
305,manokwari,-0.8667,134.0833,27.18,85,97,0.7,ID,1715222850
306,tarapur,19.85,72.7,28.69,71,14,3.29,IN,1715222850
307,i-n-salah,27.1935,2.4607,25.66,12,100,7.88,DZ,1715222850
308,siwa oasis,29.2041,25.5195,22.26,19,0,5.52,EG,1715222850
309,duong dong,10.2167,103.9667,30.0,79,40,4.63,VN,1715222850
310,battambang,13.1027,103.1982,34.39,51,49,1.44,KH,1715222851
311,susuman,62.7833,148.1667,2.21,68,56,0.45,RU,1715222851
312,lucea,18.451,-78.1736,27.92,84,52,4.34,JM,1715222851
313,sompeta,18.9333,84.6,31.1,65,0,4.33,IN,1715222851
314,mar del plata,-38.0023,-57.5575,10.05,69,0,6.69,AR,1715222851
315,san sebastian de la gomera,28.0916,-17.1133,21.32,94,75,5.14,ES,1715222851
316,huehuetenango,15.3197,-91.4708,21.52,41,99,0.76,GT,1715222852
317,st. john's,47.5649,-52.7093,4.96,94,75,4.63,CA,1715222615
318,port alfred,-33.5906,26.891,16.77,99,64,1.85,ZA,1715222828
319,ca mau,9.1769,105.15,34.16,50,79,6.19,VN,1715222852
320,vyazemskiy,47.5378,134.7525,15.8,31,70,7.04,RU,1715222852
321,puerto san jose,13.9256,-90.8244,29.73,69,100,3.67,GT,1715222852
322,souillac,-20.5167,57.5167,25.21,65,40,7.2,MU,1715222777
323,ulsteinvik,62.3432,5.8487,12.4,81,100,4.47,NO,1715222853
324,korla,41.7597,86.1469,24.84,26,37,9.99,CN,1715222853
325,keflavik,64.0049,-22.5624,2.95,75,20,1.03,IS,1715222853
326,benguela,-12.5763,13.4055,25.33,73,96,1.06,AO,1715222666
327,chester,40.1254,-75.8749,22.56,64,0,3.6,US,1715222854
328,hobyo,5.3505,48.5268,28.72,79,9,4.72,SO,1715222854
329,belmonte,-15.8631,-38.8828,24.42,88,46,1.78,BR,1715222854
330,kailua-kona,19.6406,-155.9956,27.98,74,40,4.63,US,1715222658
331,mitu,1.1983,-70.1733,23.55,99,100,0.56,CO,1715222606
332,ambodifotatra,-16.9833,49.85,26.37,67,21,8.96,MG,1715222855
333,isangel,-19.55,169.2667,26.06,50,75,3.6,VU,1715222855
334,kristiansund,63.1115,7.732,8.36,81,100,1.54,NO,1715222855
335,heilbron,-27.2812,27.9709,11.35,45,0,3.53,ZA,1715222855
336,bonthe,7.5264,-12.505,27.15,85,100,2.19,SL,1715222730
337,rosarito,32.3333,-117.0333,17.52,80,7,2.5,MX,1715222702
338,hakui,36.8833,136.7833,15.14,45,27,5.12,JP,1715222856
339,ribeirao bonito,-22.0667,-48.1761,19.55,54,2,0.89,BR,1715222856
340,kirensk,57.7853,108.1119,12.76,46,100,2.68,RU,1715222856
341,kalmunai,7.4167,81.8167,30.17,67,100,0.78,LK,1715222856
342,dickinson,29.4608,-95.0513,27.21,88,40,3.09,US,1715222856
343,tsiombe,-25.3,45.4833,18.95,87,0,2.15,MG,1715222856
344,bayanhongor,46.7167,100.1167,11.11,33,37,3.14,MN,1715222857
345,karatau,43.1667,70.4667,26.88,36,8,1.2,KZ,1715222857
346,dzilam gonzalez,21.2833,-88.9333,29.17,67,79,4.29,MX,1715222857
347,yakeshi,49.2833,120.7333,17.2,16,97,4.49,CN,1715222857
348,tempoal de sanchez,21.5167,-98.3833,32.25,43,100,5.18,MX,1715222857
349,tshabong,-26.05,22.45,19.26,35,0,5.3,BW,1715222858
350,al bayda',32.7627,21.7551,13.72,61,94,8.66,LY,1715222858
351,kourou,5.1552,-52.6478,25.03,89,59,3.54,GF,1715222826
352,nagqu,31.5,92.0,6.14,40,100,4.96,CN,1715222858
353,gokceada,40.2011,25.909,14.6,89,100,8.16,TR,1715222858
354,praia da vitoria,38.7333,-27.0667,16.14,94,20,4.85,PT,1715222655
355,great falls,47.5002,-111.3008,6.25,81,100,3.09,US,1715222859
356,kerikeri,-35.2268,173.9474,17.22,48,60,2.59,NZ,1715222859
357,boise,43.6135,-116.2035,14.45,52,6,2.24,US,1715222502
358,nobres,-14.7203,-56.3275,24.85,65,29,1.71,BR,1715222859
359,vernon,50.2581,-119.2691,20.74,21,5,1.03,CA,1715222785
360,namie,37.4833,141.0,14.75,84,100,2.44,JP,1715222859
361,fisterra,42.9049,-9.2629,12.08,75,100,2.42,ES,1715222851
362,merizo village,13.2658,144.6691,31.85,88,100,6.13,GU,1715222860
363,tarauaca,-8.1614,-70.7656,23.62,98,100,0.43,BR,1715222860
364,espinosa,-14.9261,-42.8192,17.97,75,0,2.23,BR,1715222860
